# Logger type: CL2000
# HW rev: 8.2x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 7
# Split No.: 1
# Time: 20240727T152034
# Value separator: ";"
# Time format: 4
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
27T152039789;0;e9;dff2ffff004ca05a
27T152039809;0;e9;87f3ffff004aa05a
27T152039830;0;e9;09f4ffff004aa05a
27T152039849;0;e9;05f5ffff004aa046
27T152039869;0;e9;a4f6ffff0050a05a
27T152039889;0;e9;edf7ffff0048a05a
27T152039909;0;e9;a5f8ffff0050a05a
27T152039930;0;e9;ecf9ffff0048a05a
27T152039949;0;e9;0efaffff004ea05a
27T152039969;0;e9;50fbffff004ca05a
27T152039989;0;e9;8cfcffff004ea046
27T152040009;0;e9;d7fdffff004aa046
27T152040030;0;e9;64feffff004ca05a
27T152040049;0;e9;77f0ffff0050a05a
27T152040069;0;e9;6cf1ffff004aa046
27T152040089;0;e9;daf2ffff004aa05a
27T152040109;0;e9;87f3ffff004aa05a
27T152040130;0;e9;0ff4ffff004ea05a
27T152040150;0;e9;54f5ffff004aa05a
27T152040169;0;e9;b6f6ffff004ca05a
27T152040189;0;e9;bff7ffff004aa046
27T152040209;0;e9;e6f8ffff004ca046
27T152040230;0;e9;eff9ffff004aa05a
27T152040249;0;e9;0dfaffff004ca05a
27T152040269;0;e9;56fbffff0048a05a
27T152040289;0;e9;ddfcffff004ea05a
27T152040309;0;e9;80fdffff004ea05a
27T152040330;0;e9;33feffff0048a046
27T152040349;0;e9;34f0ffff004ca046
27T152040369;0;e9;3df1ffff004aa05a
27T152040389;0;e9;8ef2ffff004ca046
27T152040409;0;e9;8df3ffff0046a05a
27T152040429;0;e9;0cf4ffff004ca05a
27T152040449;0;e9;00f5ffff004ca046
27T152040469;0;e9;b0f6ffff0048a05a
27T152040489;0;e9;e8f7ffff004ea05a
27T152040509;0;e9;b7f8ffff004ca05a
27T152040530;0;e9;e9f9ffff004ea05a
27T152040549;0;e9;5afaffff0048a046
27T152040569;0;e9;42fbffff0050a05a
27T152040589;0;e9;defcffff004ca05a
27T152040609;0;e9;83fdffff004ca05a
27T152040630;0;e9;36feffff004ea046
27T152040649;0;e9;66f0ffff004ea05a
27T152040669;0;e9;38f1ffff004ca05a
27T152040689;0;e9;daf2ffff004aa05a
27T152040709;0;e9;c1f3ffff0050a046
27T152040730;0;e9;09f4ffff004aa05a
27T152040749;0;e9;43f5ffff0050a05a
27T152040769;0;e9;b3f6ffff004aa05a
27T152040789;0;e9;e8f7ffff004ea05a
27T152040809;0;e9;b1f8ffff0048a05a
27T152040829;0;e9;eaf9ffff004ca05a
27T152040849;0;e9;08faffff004aa05a
27T152040869;0;e9;56fbffff0048a05a
27T152040889;0;e9;ccfcffff0050a05a
27T152040909;0;e9;85fdffff0048a05a
27T152040930;0;e9;64feffff004ca05a
27T152040949;0;e9;63f0ffff0048a05a
27T152040969;0;e9;2af1ffff0050a05a
27T152040989;0;e9;8bf2ffff004aa046
27T152041009;0;e9;d5f3ffff0048a046
27T152041030;0;e9;09f4ffff004aa05a
27T152041049;0;e9;51f5ffff004ca05a
27T152041069;0;e9;b6f6ffff004ca05a
27T152041089;0;e9;edf7ffff0048a05a
27T152041109;0;e9;b7f8ffff004ca05a
27T152041130;0;e9;bdf9ffff0048a046
